"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.voiceoverguy.co.uk/micropolitics-suzys-beauty-salon","3","A natural close mic read.","25","Who are Mada Masr?","18","Indexable",""
"https://www.voiceoverguy.co.uk/micropolitics-under-14-handball-team","3","A soft natural narration","24","Who are Mada Masr?","18","Indexable",""
"https://www.voiceoverguy.co.uk/character-voices-showreel","3","A voice for every occasion.","27","Character Voices Showreel","25","Indexable",""
"https://www.voiceoverguy.co.uk/vadda-mera-govind-patrick-stewart-narrator-voiceover","3","A voiceover gig like no other","29","A little more about Dharam Seva Records","39","Indexable",""
"https://www.voiceoverguy.co.uk/a-team-voice","3","Character voices","16","What is Smash Bandits?","22","Indexable",""
"https://www.voiceoverguy.co.uk/animation-voiceovers","3","Check out the video","19","Creating character voices.","26","Indexable",""
"https://www.voiceoverguy.co.uk/disney-store-marvel-voiceover","3","Check out the video","19","How it works","12","Indexable",""
"https://www.voiceoverguy.co.uk/salter-blender-pro","3","Check out the video","19","A Little More about Salter","26","Indexable",""
"https://www.voiceoverguy.co.uk/war-friends-army-voice","3","Check out the video","19","War Friends Army Voice","22","Indexable",""
"https://www.voiceoverguy.co.uk/dpd-predict-voice","3","Check out the video","19","DPD Predict Voice","17","Indexable",""
"https://www.voiceoverguy.co.uk/seat-hidden-heroes-adrian","3","Check out the video","19","Seat Hidden Heroes Adrian","25","Indexable",""
"https://www.voiceoverguy.co.uk/seat-hidden-heroes","3","Check out the video","19","Seat Hidden Heroes","18","Indexable",""
"https://www.voiceoverguy.co.uk/phoenixpb-explainer-video-voice","3","Check out the video","19","Who are PhoenixPB?","18","Indexable",""
"https://www.voiceoverguy.co.uk/batelco-wifi-voice","3","Check out the video","19","Who are Batelco and what is special about their WiFi?","53","Indexable",""
"https://www.voiceoverguy.co.uk/horlicks-promo-voice","3","Check out the video","19","Horlicks Voice","14","Indexable",""
"https://www.voiceoverguy.co.uk/apple-voiceover","3","Check out the video","19","The Apple Voice over style","26","Indexable",""
"https://www.voiceoverguy.co.uk/character-voices-song","3","Check out the video","19","Character Voices Song","21","Indexable",""
"https://www.voiceoverguy.co.uk/dead-daises-promo-voice","3","Check out the video","19","A Little More about The Dead Dasies","35","Indexable",""
"https://www.voiceoverguy.co.uk/cbbc-pirate-week-voice","3","Check out the video","19","CBBC Pirate Week Voice","22","Indexable",""
"https://www.voiceoverguy.co.uk/because-i-see-voiceover","3","Check out the video","19","Welcome to 'Because I see'","26","Indexable",""
"https://www.voiceoverguy.co.uk/rakbank-voiceover","4","Check out the video","19","Here is more information about Home in One.","43","Indexable",""
"https://www.voiceoverguy.co.uk/pop-up-pirate-voiceover","3","Check out the video","19","Pop up Pirate Voiceover","23","Indexable",""
"https://www.voiceoverguy.co.uk/super-hero-voice","3","Check out the video","19","Enough about the voice, but what is Fespa Digital?","50","Indexable",""
"https://www.voiceoverguy.co.uk/mmx-hill-climb-trailer-voiceover","3","Check out the video","19","MMX Hill Climb Trailer Voiceover","32","Indexable",""
"https://www.voiceoverguy.co.uk/eze-group-explainer-voice","3","Check out the video","19","Who are the Eze Group?","22","Indexable",""
"https://www.voiceoverguy.co.uk/sage-one-payroll-voiceover","3","Check out the video","19","A little more about Sage","24","Indexable",""
"https://www.voiceoverguy.co.uk/zalando-voiceover","4","Check out the video","19","A little more about Zalando","27","Indexable",""
"https://www.voiceoverguy.co.uk/the-escapists-game-trailer","3","Check out the video","19","The Escapists Game Trailer","26","Indexable",""
"https://www.voiceoverguy.co.uk/change-challenge-gameshow-voice","3","Check out the video","19","What is PAYM?","13","Indexable",""
"https://www.voiceoverguy.co.uk/air-malta-voiceover","3","Check out the video","19","A little more about Air Malta","29","Indexable",""
"https://www.voiceoverguy.co.uk/rise-project-explainer-video-voiceover","3","Check out the video","19","Who are Rise Project?","21","Indexable",""
"https://www.voiceoverguy.co.uk/worms-wmd-character-voices","3","Check out the video","19","What is Worms WMD?","18","Indexable",""
"https://www.voiceoverguy.co.uk/greedy-granny-tv-commercial","3","Check out the video","19","So you want to know more about Greedy Granny?","45","Indexable",""
"https://www.voiceoverguy.co.uk/winterstate-trailer-voice","3","Check out the video","19","What is Winterstate?","20","Indexable",""
"https://www.voiceoverguy.co.uk/dead-daises-album-promo","3","Check out the video","19","Dead Daises Album Promo","23","Indexable",""
"https://www.voiceoverguy.co.uk/lifeless-game-trailer-voice","3","Check out the video","19","So, tell me more about Lifeless","31","Indexable",""
"https://www.voiceoverguy.co.uk/this-war-of-mine-trailer-voiceover","3","Check out the video","19","What is This War of Mine?","25","Indexable",""
"https://www.voiceoverguy.co.uk/dragon-city-voiceover","3","Check out the video","19","Who are Social Point?","21","Indexable",""
"https://www.voiceoverguy.co.uk/rac-car-passport-voiceover","3","Check out the video","19","A little more about the RAC","27","Indexable",""
"https://www.voiceoverguy.co.uk/viva-bahrain-voiceover","3","Check out the video","19","A little more about VIVA Bahrain","32","Indexable",""
"https://www.voiceoverguy.co.uk/cities-talking-explainer-voiceover","3","Check out the video","19","Cities Talking Explainer Voiceover","34","Indexable",""
"https://www.voiceoverguy.co.uk/xs-poker-voice","3","Check out the video","19","A little more about XS Poker","28","Indexable",""
"https://www.voiceoverguy.co.uk/father-christmas-santa-voiceover","5","Check Out the Video","19","Voice of Santa","14","Indexable",""
"https://www.voiceoverguy.co.uk/marvel-spiderman-voiceover","3","Marvel Spiderman Voiceover","26","Check out the video","19","Indexable",""
"https://www.voiceoverguy.co.uk/marvel-superheroes-voiceover","3","Marvel Superheroes Voiceover","28","Check out the video","19","Indexable",""
"https://www.voiceoverguy.co.uk/g-fuel-golden-apple-pear","3","My voiceover on the latest G Fuel ad!","37","A little more about G Fuel","26","Indexable",""
"https://www.voiceoverguy.co.uk/govind-trailer-deep-male-voice","3","My voiceover works rarely brings me the same job twice!","55","A Little More about Dharam Seva Records","39","Indexable",""
"https://www.voiceoverguy.co.uk/voiceover-news","169","Seabrooks Sponsorship - In for a Penny","38","Character Voices Showreel","25","Indexable",""
"https://www.voiceoverguy.co.uk/penarium-game-trailer-voice","3","So, what is Penarium?","21","Penarium Game Trailer","21","Indexable",""
"https://www.voiceoverguy.co.uk/faze-rug-chug-rug-g-fuel","3","Voiceover for G Fuel's Faze Rug's Sour Blue Chug Rug","52","A Little More About G Fuel","26","Indexable",""
"https://www.voiceoverguy.co.uk/renton-trainspotting-choose-life-voiceover","3","Where can you get a Renton impersonation?","41","Character Voices","16","Indexable",""
"https://www.voiceoverguy.co.uk/game-trailer-voice","5","Worms WMD Trailer","17","Penarium Game Trailer","21","Indexable",""
