"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.voiceoverguy.co.uk/","Indexable","","0","","1084","270","0","99.630","49","31","0","19","16","0"
"https://www.voiceoverguy.co.uk/movie-trailer-voice","Indexable","","1","","294","270","0","99.630","39","28","0","14","14","0"
"https://www.voiceoverguy.co.uk/attenborough-script-generator","Indexable","","1","","277","270","0","99.630","36","28","0","14","14","0"
"https://www.voiceoverguy.co.uk/privacy-policy","Indexable","","1","","270","270","0","99.630","35","28","0","14","14","0"
"https://www.voiceoverguy.co.uk/voiceoverguy","Indexable","","1","","273","270","0","99.630","58","36","0","15","14","0"
"https://www.voiceoverguy.co.uk/santa-voice","Indexable","","1","","581","270","0","99.630","45","32","0","23","21","0"
"https://www.voiceoverguy.co.uk/football-commentator-voice","Indexable","","1","","292","270","0","99.630","48","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/halloween-voice","Indexable","","1","","289","270","0","99.630","45","34","0","16","15","0"
"https://www.voiceoverguy.co.uk/david-attenborough-voice","Indexable","","1","","312","270","0","99.630","50","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/explainer-video-voice","Indexable","","1","","378","270","0","99.630","35","28","0","14","14","0"
"https://www.voiceoverguy.co.uk/santa-script-generator","Indexable","","1","","274","270","0","99.630","37","28","0","14","14","0"
"https://www.voiceoverguy.co.uk/gameshow-host","Indexable","","1","","275","270","0","99.630","34","28","0","14","14","0"
"https://www.voiceoverguy.co.uk/tv-choice-awards-voice-of-god-voiceover","Indexable","","1","","8","8","0","2.950","48","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/voiceover-news","Indexable","","1","","517","270","0","99.630","203","197","0","14","14","0"
"https://www.voiceoverguy.co.uk/apple-voice-style","Indexable","","1","","289","270","0","99.630","40","31","0","14","14","0"
